codigo,descricao,unidade_medida,grupo,data_venda,valor_declarado,valor_venda
676,"ACR INTERIOR FOSCO GELO 3,0L TINTAX",GL,tinta_acrilica,2026-09-15T20:08:46Z,32.0,32.0
744,"ACR INTERIOR FOSCO MARFIM 3,0L TINTAX",GL,tinta_acrilica,2026-09-12T13:16:11Z,32.0,32.0
7029,"ACR INTERIOR FOSCO PRETO 3,0L TINTAX",UN,tinta_acrilica,2026-09-14T20:52:43Z,30.0,30.0
100258,ACR INTERIOR FOSCO ROSA BEBE 15L TINTAX,UN,tinta_acrilica,2026-09-15T16:30:20Z,99.9,91.43
422,"ACR INTERIOR FOSCO ROSA BEBE 3,0L TINTAX",GL,tinta_acrilica,2026-09-09T16:57:03Z,30.0,30.0
0008211,"ACR INTERIOR FOSCO ROSA BEBE 3,0L TINTAX",GL,tinta_acrilica,2026-09-09T13:21:21Z,36.0,36.0
247,"ARACOR TINTA INT ECON  3,0L BR NEVE 60",GL,tinta_branca,2026-09-15T19:17:33Z,17.0,17.0
1122,BASE PU ACR.BRANCA PURO # # ONU 1263 QUANT.LTDA TINTA 3 II,UN,tinta_acrilica,2026-09-12T13:40:09Z,40.0,40.0
1122,BASE PU ACR.BRANCA PURO # # ONU 1263 QUANT.LTDA TINTA 3 II,UN,tinta_acrilica,2026-09-12T15:10:23Z,77.0,70.0
1122,BASE PU ACR.BRANCA PURO # # ONU 1263 QUANT.LTDA TINTA 3 II,UN,tinta_acrilica_branca,2026-09-12T13:40:09Z,40.0,40.0
1122,BASE PU ACR.BRANCA PURO # # ONU 1263 QUANT.LTDA TINTA 3 II,UN,tinta_acrilica_branca,2026-09-12T15:10:23Z,77.0,70.0
1122,BASE PU ACR.BRANCA PURO # # ONU 1263 QUANT.LTDA TINTA 3 II,UN,tinta_branca,2026-09-12T13:40:09Z,40.0,40.0
1122,BASE PU ACR.BRANCA PURO # # ONU 1263 QUANT.LTDA TINTA 3 II,UN,tinta_branca,2026-09-12T15:10:23Z,77.0,70.0
182,BP BRANCO POLAR LISA HYUNDAI SKYLACK 900ML,UN,tinta_branca,2026-09-11T13:11:06Z,50.0,39.24
182,BP BRANCO POLAR LISA HYUNDAI SKYLACK 900ML,MR,tinta_branca,2026-09-15T21:05:23Z,65.0,54.65714285714286
182,BP BRANCO POLAR LISA HYUNDAI SKYLACK 900ML,UN,tinta_branca,2026-09-15T20:54:40Z,65.0,54.88
287,BP CINZA VULCAN MET. VW SKYLACK,MR,tinta_metalica,2026-09-10T20:55:36Z,63.0,54.72
287,BP CINZA VULCAN MET. VW SKYLACK,UN,tinta_metalica,2026-09-09T10:45:31Z,68.5,56.41
235,BP PRATA GEADA MET. FORD 02 -SKY-,MR,tinta_metalica,2026-09-09T14:32:14Z,53.0,45.0
376,BP PRATA POLARIS MET. GM 05 -SKY-,MR,tinta_metalica,2026-09-12T13:18:50Z,53.0,45.63846153846154
376,BP PRATA POLARIS MET. GM 05 -SKY-,UN,tinta_metalica,2026-09-15T20:44:23Z,50.0,50.0
376,BP PRATA POLARIS MET. GM 05 -SKY-,UN,tinta_metalica,2026-09-10T20:51:11Z,59.0,50.0
284,BP PRATA SIRIUS MET. VW 0912 -SKY-,MR,tinta_metalica,2026-09-15T20:47:27Z,53.0,44.5125
284,BP PRATA SIRIUS MET. VW 0912 -SKY-,UN,tinta_metalica,2026-09-10T21:18:15Z,50.0,50.0
284,BP PRATA SIRIUS MET. VW 0912 -SKY-,UN,tinta_metalica,2026-09-15T21:01:42Z,59.0,50.08571428571429
01309,"BRANCO AREIA TINTA EPOXI B/AGUA BRI BASE PM 0,8L RENOVA AZULEJOS CORAL 30YY 58/082 5300",UN,tinta_branca,2026-09-11T12:19:46Z,90.39,90.39
2634,BRANCO NEVE INTERNO BD 15L - TINTAS MIL,KG,tinta_branca,2026-09-14T18:02:35Z,89.9,89.9
10435,BRANCO POL BANCHISA LISA 900ML LAZZUDUR,L,tinta_branca,2026-09-10T17:42:19Z,53.6,53.6
00840,COLORGIN ARTE URBANA BRANCO 400ML 944,400ML,tinta_branca,2026-09-09T17:13:22Z,27.99,27.99
92418151,CORALIT ANT PRETO BR 3 6L,UN,tinta_branca,2026-09-12T11:52:45Z,255.21,255.21
3077,"DELANIL MAD E MET VERDE NILO 750ML -> COD.ONU: 1263 CL.RISCO: 3,0 GR.EMB: III TINTA CONTENDO SOLVENTE ORGANICO.",UN,tinta_metalica,2026-09-15T14:34:11Z,43.9,41.71
7785,DURAMAIS 15 L BRANCO NEVE TINTAS LUX,UN,tinta_branca,2026-09-09T20:46:26Z,156.5,124.29
05776,"EPOXI TINTA BASE AGUA MULTISSUPERFICIES BRANCO ACETINADO 3,6L SUVINIL",GL,tinta_branca,2026-09-11T16:48:35Z,307.7,307.7
05715,"EPOXI TINTA BASE AGUA RENOVA AZULEJOS BRANCO ACETINADO 0,9L CORAL",L,tinta_branca,2026-09-15T20:07:17Z,92.0,82.8
05715,"EPOXI TINTA BASE AGUA RENOVA AZULEJOS BRANCO ACETINADO 0,9L CORAL",L,tinta_branca,2026-09-15T11:27:38Z,82.8,82.8
05716,"EPOXI TINTA BASE AGUA RENOVA AZULEJOS BRANCO BRILHANTE 0,9L CORAL",L,tinta_branca,2026-09-10T16:37:55Z,88.0,79.0
05539,"EPOXI TINTA BASE AGUA RENOVA AZULEJOS BRANCO BRILHANTE 3,6L CORAL",GL,tinta_branca,2026-09-12T12:39:03Z,297.0,267.53
014222,"EPOXI TINTA BASE AGUA RENOVA AZULEJOS BRANCO BRILHANTE 3,6L CORAL",UN,tinta_branca,2026-09-15T13:08:49Z,330.0,330.0
511,"ESM BR GL 3,6L PRETO",UN,tinta_branca,2026-09-09T11:13:00Z,140.0,140.0
5326,ESM EXTRALUX 1/32 BR NEVE - TINTAS LUX,UN,tinta_branca,2026-09-10T19:00:54Z,10.0,10.0
3577,ESM SINT B/AGUA AQUAMAX 900ML BR HIDROT,UN,tinta_branca,2026-09-15T19:58:34Z,50.0,50.0
43164,ESM SINT MAXLIT 750ML BR HIDROTINTAS,UN,tinta_branca,2026-09-14T12:52:39Z,35.0,24.59
5678,ESM SINT MAXLIT 750ML BR HIDROTINTAS,UN,tinta_branca,2026-09-15T09:33:21Z,35.0,35.0
13205,ESM SINT MAXLIT 750ML BR HIDROTINTAS,UN,tinta_branca,2026-09-10T13:47:22Z,35.0,35.0
731,ESM SINT MAXLIT 750ML BR HIDROTINTAS,UN,tinta_branca,2026-09-11T18:30:00Z,45.0,45.0
33686,ESM SINT MAXLIT GL 3L BR HIDROTINTAS,GL,tinta_branca,2026-09-14T12:52:39Z,115.0,80.79
01380,ESMALTE PREMIUM CORALIT ULTRA RESISTENCIA BRANCO BRILHANTE 225ML CORAL,UN,tinta_branca,2026-09-15T19:46:23Z,24.0,19.2
01380,ESMALTE PREMIUM CORALIT ULTRA RESISTENCIA BRANCO BRILHANTE 225ML CORAL,UN,tinta_branca,2026-09-15T14:15:19Z,20.4,20.1
01380,ESMALTE PREMIUM CORALIT ULTRA RESISTENCIA BRANCO BRILHANTE 225ML CORAL,UN,tinta_branca,2026-09-10T19:46:55Z,24.0,21.59
