codigo,descricao,descricao_sefaz,gtin,ncm,gpc,unidade_medida,data_venda,valor_declarado,valor_venda
57850,TINTA SPRAY 350ML DOURADO NORDESTIN SPRA,,0,32082019,83000000,UN,2026-09-10T19:30:44Z,14.5,13.78
14412,SPRAY ALUMINIO ORBI-QUIMICA,TINTA PRETO FOSCO 340ML 220G TINTA ALUMINIO COD 6695,7898314112730,32082011,83000000,UN,2026-09-10T16:36:23Z,15.0,13.8
11038,TINTA ESMAL BRILHO BRANCO 225ml,,7908027015669,32091010,83000000,PC,2026-09-11T08:51:42Z,15.0,13.89
7891153068022,TINTA VIDRO 150 37ML,,0,32089010,83000000,UN,2026-09-12T12:33:59Z,13.95,13.95
7891153067926,TINTA VIDRO 150 37ML,,0,32089010,83000000,UN,2026-09-11T17:00:51Z,13.95,13.95
000236,"TINTA ESM 112,5ml BRANCO NEVE IQUINE","DIALINE-ESM SEC RAP BCO NEVE 112,5ML -> COD.ONU: 1263 CL.RISCO: 3,0 GR.EMB: III TINTA CONTENDO SOLVENTE ORGANICO.",7892948012398,32081010,83000000,UN,2026-09-12T13:09:36Z,14.0,14.0
337,TINTA SPRAY U G PT BRILHO 400ML CHEMIC,,0,32082011,83000000,UN,2026-09-14T17:36:30Z,14.4,14.4
57865,TINTA SPRAY 350ML BR FOSCO NORDESTIN SPR,,0,32082019,83000000,UN,2026-09-10T15:40:01Z,14.5,14.5
57856,TINTA SPRAY 350ML BR BRILHANTE NORDESTIN,,0,32082019,83000000,UN,2026-09-10T12:52:44Z,14.5,14.5
57861,TINTA SPRAY 350ML PR FOSCO NORDESTIN SPR,,0,32082019,83000000,UN,2026-09-10T15:40:01Z,14.5,14.5
57848,TINTA SPRAY 350ML PR BRILHANTE NORDESTIN,,0,32082019,83000000,UN,2026-09-09T15:01:14Z,14.5,14.5
57847,TINTA SPRAY 350ML CZ CLARO NORDESTIN SPR,,0,32082019,83000000,UN,2026-09-09T15:01:14Z,14.5,14.5
324916,"IQUINE ESM DIALINE AB 0,1125L M TABACO UND","TINTA ACRIL. ESM RAP MARROM TABACO 112,5ML DIALINE IQUINE",7892948012527,32081010,83000000,UN,2026-09-11T12:41:49Z,14.5,14.5
40220,"IQUINE ESM DIALINE AB 0,1125L PRETO UND","DIALINE-ESM SEC RAP PRETO 112,5 ML - COD.ONU 1263 CL.RISCO 3,0 GR.EMB III TINTA CONTENDO SOLVENTE ORGANICO.",7892948012374,32081010,83000000,UN,2026-09-14T14:21:55Z,14.5,14.5
